Articlenumber;Type;Manufacturer;Model;Modeldescription;Languages;UnitPrice;IsDiscontinued;IsNew;IsSpecialPrice;Stock;DeliveryQuantity;DeliveryDay;EAN;IsVIPPrice;TimeStamp
705247;Handy;Apple;Apple iPhone 11 4G 64GB yellow EU;"- Type: Smartphone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1700(AWS)/1900/2100
- 4G Network: LTE 
- Sim-type: Nano-SIM
- Dimensions: 150.9 x 75.7 x 8.3 mm
- Weight: 194g
- Displaysize: 6.1 inches, 90.3 cm2 (~79.0% screen-to-body ratio), 828 x 1792 pixels
- Displaytype: IPS LCD capacitive touchscreen, 16M colors
- Memory int.: 64GB, 4GB RAM 
- Card slot: No
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, GSM, HSDPA, LTE
- Connectivity: Bluetooth, Wi-Fi, NFC 
- Features: GPS, A-GPS, Glonass, Galileo, QZSS
- CPU: Apple A13 Bionic (7 nm+)
- Main Camera: Dual: 12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, PDAF, OIS
12 MP, f/2.4, 13mm (ultrawide)
- Selfie Camera: 12 MP, f/2.2, TOF 3D camera
- Oper.System: iOS 13
- Stand-by: max. h
- Talk time: max. h
- Specials: IP68 dust/water resistant (up to 2m for 30 mins), Apple Pay (Visa, MasterCard, AMEX certified), Face ID, accelerometer, gyro, proximity, compass, barometer, Siri natural language commands and dictation, Fast battery charging 18W, Qi wireless charging, Reverse wireless charging";;449.5000;False;False;True;10;0.0;;194252098042;0;25/09/2022 09:29
705256;Handy;Apple;Apple iPhone 12 128GB white DE;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE 
- 5G Network
- Sim-type: Single SIM (Nano-SIM and/or eSIM)
- Dimensions: 146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in)
- Weight: 164 g 
- Displaysize: 6.1 inches 1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)
- Displaytype: Super Retina XDR OLED, HDR10, 625 nits (typ), 1200 nits (peak)
- Memory int.: 128GB 4GB RAM
- Card slot: no
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- CPU: 	Hexa-core
- Camera: 12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120°, 13mm (ultrawide), 1/3.6""
- Oper.System: iOS 14.1";;667.5000;False;False;False;21;0.0;;194252031650;0;25/09/2022 09:29
705342;Accessoires;Samsung;Acc. Samsung Galaxy Buds Live Wireless Earbuds Mystic Black;"- 	Type: Earbuds
- 	Dimensions: 16.5 mm x 27.3 mm
- 	Weight: Buds: 6 g / Case: 41 g
- 	Bluetooth Version: Bluetooth v5.0
- 	Bluetooth Profiles: N/A
- 	Compatible Specification of Smartphone: Android 5.0 or higher with minimum of 1.5GB RAM, iOs 10 or higher
- 	Package Contents: Earbuds, Quick Start Guide, USB Cable, Wingtips (S, M, L), Charging Case
- 	Wireless: Yes
- 	Features: Get up to 21 hours of battery life when you are on the go with a case that doubles as a wireless charger. One full charge provides up to six hours of play time, charging case provides an additional 15 hours. Running low on power but in a rush to get out the door? A quick 5-minute charge in the case will get you up to 1.5 hours of play time. Bixby Voice Wake-Up-Funktion, active noise cancelling.";;48.0000;False;False;True;31;0.0;;8806090486869;0;25/09/2022 09:29
705395;Handy;Apple;Apple iPhone 12 128GB blue EU;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE 
- 5G Network
- Sim-type: Single SIM (Nano-SIM and/or eSIM)
- Dimensions: 146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in)
- Weight: 164 g 
- Displaysize: 6.1 inches 1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)
- Displaytype: Super Retina XDR OLED, HDR10, 625 nits (typ), 1200 nits (peak)
- Memory int.: 128GB 4GB RAM
- Card slot: no
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- CPU: 	Hexa-core
- Camera: 12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120°, 13mm (ultrawide), 1/3.6""
- Oper.System: iOS 14.1";;679.5000;False;False;False;3;0.0;;194252032114;0;25/09/2022 09:29
705398;Handy;Apple;Apple iPhone SE 4G 64GB white DE;"- 	Type: Smartphone
- 	2G Network: GSM 850 / 900 / 1800 / 1900
- 	3G Network: HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100
- 	4G Network: LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 11(1500), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 21(1500), 25(1900), 26(850), 28(700), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 42(3500), 46(5200), 48, 66(1700/2100)
- 	Sim-type: Nano-SIM
- 	Dimensions: 138.4 x 67.3 x 7.3 mm
- 	Weight: 148 g
- Display siize: 4.7 inches, 60.9 cm2 (~65.4% screen-to-body ratio)
- Display type: Retina IPS LCD capacitive touchscreen, 16M colors
- 	Memory int.: 64GB, 3GB RAM
- 	Card slot: No
- 	Keypad: Multitouch
- 	Da transfer: GPRS, EDGE, GSM, HDSPA, EVDO, LTE
- 	Connectivity: Bluetooth, Wi-Fi
- 	Features: GPS, NFC
- 	CPU: Hexa-core, Apple A13 Bionic (7 nm+)
- 	Camera: Pirmary: 12 MP, f/1.8 (wide), PDAF, OIS, Dual-LED dual-tone flash, HDR
- 	Secondary: 7 MP, f/2.2, face detection, HDR, panorama
- 	Oper.System: iOS 13
- 	Stand-by: max. n/a
- 	Talk time: max. n/a
- 	Specials: IP67 dust/water resistant (up to 1m for 30 mins), Apple Pay (Visa, MasterCard, AMEX certified), Ion-strengthened glass, oleophobic coating, Wide color gamut, true-tone, fingerprint (front-mounted), accelerometer, proximity, gyro, compass, barometer, Siri natural language commands and dictation, Fast charging 18W, 50% in 30 min (advertised), Qi wireless charging,";;364.5000;False;False;False;34;0.0;;194252146156;0;25/09/2022 09:29
705407;Handy;Samsung;Samsung Galaxy S20 FE 5G 6/128GB DS cloud navy blue EU;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE   
- 5G Network                                                                                                                             
- Sim-type: Nano-SIM, dual stand-by
- Dimensions:159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in) 
- Weight: 	190 g (6.70 oz)
- Displaysize: 1080 x 2400 pixels, 20:9 ratio (~407 ppi density)
- Displaytype: Super AMOLED capacitive touchscreen, 16M colors 
- Memory int.: 128GB, 6GB RAM
- Card slot: microSDXC (uses shared SIM slot)
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- Features: Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer, Bixby natural language commands and dictation 
- CPU: Qualcomm SM8250 Snapdragon 865, 64bit
- Camera: 12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
8 MP, f/2.0, 73mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 123°, 13mm (ultrawide), 1/3.0"", 1.12µm
- Oper.System: Android 10, One UI 2.5";;365.0000;False;False;False;20;0.0;;8806090709739;0;25/09/2022 09:29
705428;Handy;Apple;Apple iPhone 11 4G 64GB purple DE;"- Type: Smartphone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1700(AWS)/1900/2100
- 4G Network: LTE 
- Sim-type: Nano-SIM
- Dimensions: 150.9 x 75.7 x 8.3 mm
- Weight: 194g
- Displaysize: 6.1 inches, 90.3 cm2 (~79.0% screen-to-body ratio), 828 x 1792 pixels
- Displaytype: IPS LCD capacitive touchscreen, 16M colors
- Memory int.: 64GB, 4GB RAM 
- Card slot: No
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, GSM, HSDPA, LTE
- Connectivity: Bluetooth, Wi-Fi, NFC 
- Features: GPS, A-GPS, Glonass, Galileo, QZSS
- CPU: Apple A13 Bionic (7 nm+)
- Main Camera: Dual: 12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, PDAF, OIS
12 MP, f/2.4, 13mm (ultrawide)
- Selfie Camera: 12 MP, f/2.2, TOF 3D camera
- Oper.System: iOS 13
- Stand-by: max. h
- Talk time: max. h
- Specials: IP68 dust/water resistant (up to 2m for 30 mins), Apple Pay (Visa, MasterCard, AMEX certified), Face ID, accelerometer, gyro, proximity, compass, barometer, Siri natural language commands and dictation, Fast battery charging 18W, Qi wireless charging, Reverse wireless charging";;469.5000;False;False;False;3;0.0;;194252098608;0;25/09/2022 09:29
705462;Handy;Samsung;Samsung Galaxy G781B S20 FE 5G 6/128GB DS cloud navy blue EU;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE   
- 5G Network                                                                                                                             
- Sim-type: Nano-SIM
- Dimensions:159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in) 
- Weight: 	190 g (6.70 oz)
- Displaysize: 1080 x 2400 pixels, 20:9 ratio (~407 ppi density)
- Displaytype: Super AMOLED capacitive touchscreen, 16M colors 
- Memory int.: 128GB, 6GB RAM
- Card slot: microSDXC (uses shared SIM slot)
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- Features: Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer, Bixby natural language commands and dictation 
- CPU: Qualcomm SM8250 Snapdragon 865, 64bit
- Camera: 12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
8 MP, f/2.0, 73mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 123°, 13mm (ultrawide), 1/3.0"", 1.12µm
- Oper.System: Android 10, One UI 2.5";;372.5000;False;False;False;11;0.0;;8806090709753;0;25/09/2022 09:29
705464;Handy;Cat;CAT S62 Pro 4G 6GB RAM 128GB Black DS EU;"- Type: Smartphone 
- 2G Network: GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)
- 3G Network: HSDPA 850 / 900 / 1700 / 1900 / 2100
- 4G Network: LTE band 1/2/3/4/5/7/8/20/28/38/40
- Sim-type: Dual SIM (Nano-SIM, dual stand-by)
- Dimensions: 158.5 x 76.7 x 11.9mm
- Weight: 248g
- Display size: 5.7 inches, 18:9 ratio, 1080 x 2160 pixels
- Display type:  IPS LCD capacitive touchscreen, 16M colors
- Memory int.: 128 GB, 6 GB RAM
- Card slot: microSD up to 256GB (dedicated slot) 
- Keypad: full touch 
- Data transfer: GSM, HSDPA, LTE
- Connectivity: Bluetooth, Wi-Fi, NFC 
- Features: GPS, A-GPS, GPS, AGPS, Glonass, Galileo
- CPU: Qualcomm Snapdragon 660, 2.0GHz octa-core processor
- Camera: 12MP Sony dual pixel sensor, f/1.8 aperture, large 1.4µm pixel size
Secondary: 8 MP
- Oper.System: Android 10, planned upgrade to Android 11.0
- Stand-by: max. n/a
- Talk time: max. n/a
- Specials:  Professional-grade thermal imaging powered by the FLIR Lepton 3.5 sensor, IP68 dust/water resistant (up to 1.5m for 35 mins), drop-to-concrete resistance from up to 1.8 m, MIL-STD-810G compliant, resistant to vibration (category 4) and salt mist, Accelerometer, proximity, E-compass, ambient light sensor, wet finger/glove-on working technology*, readable in full sunlight";;477.5000;False;False;False;17;0.0;;5060472352163;0;25/09/2022 09:29
705481;Handy;Apple;Apple iPhone 12 128GB black EU;"- Type: Phone 
- 2G Network: GSM 850/900/1800/1900
- 3G Network: HSDPA 850/900/1900/2100
- 4G Network: LTE 
- 5G Network
- Sim-type: Single SIM (Nano-SIM and/or eSIM)
- Dimensions: 146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in)
- Weight: 164 g 
- Displaysize: 6.1 inches 1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)
- Displaytype: Super Retina XDR OLED, HDR10, 625 nits (typ), 1200 nits (peak)
- Memory int.: 128GB 4GB RAM
- Card slot: no
- Keypad: full touch 
- Datatransfer: GPRS, EDGE, HSDPA, HSUPA
- Connectivity: Bluetooth, Wi-Fi, NFC 
- CPU: 	Hexa-core
- Camera: 12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120°, 13mm (ultrawide), 1/3.6""
- Oper.System: iOS 14.1";;679.5000;False;False;False;28;0.0;;194252031063;0;25/09/2022 09:29
